"2026-07-16,11.527"
"2026-07-17,11.4781"
"2026-07-20,11.5204"
"2026-07-21,11.564"
"2026-07-22,11.4321"
"2026-07-23,11.3134"
"2026-07-24,11.2992"
"2026-07-27,11.4263"
"2026-07-28,11.4079"
"2026-07-29,11.5217"
"2026-07-30,11.4634"
"2026-07-31,11.5152"
